Name,Student ID,Class,Gender,Date of Birth,Nationality,Religion,Guardian Address,Previous School
Cyrus Paapa Adutwum,,BUSINESS-1,Male,2011-07-22,Togolese,Christianity,"47 East Legon, Tema",Galaxy Preparatory
Stella Esi Amoah,,BUSINESS-1,Female,2010-03-29,Togolese,Christianity,"86 Haatso, Accra",Hope Academy
Osei Kofi Gyasi,,BUSINESS-1,Male,2010-05-20,Nigerian,Christianity,"28 Mamprobi, Tema",Crown Prep
Patience Afia Agyemang,,BUSINESS-1,Female,2010-08-22,Ghanaian,Islam,"36 Tema, Accra",Galaxy Preparatory
Jeremiah Kojo Ampofo,,BUSINESS-1,Male,2010-02-21,Ivorian,Christianity,"107 Osu, Accra",Little Angels School
Afua Afia Akoto,,BUSINESS-1,Female,2010-01-01,Nigerian,Christianity,"10 Osu, Tema",Ridge International School
Frank Kwame Ansah,,BUSINESS-1,Male,2009-12-15,Ghanaian,Traditional,"59 Tema, Accra",Galaxy Preparatory
Mabel Esi Wiredu,,BUSINESS-1,Female,2009-11-28,Ghanaian,Islam,"101 Osu, Accra",New Era Academy
Kofi Kojo Nyarko,,BUSINESS-1,Male,2011-04-21,Ghanaian,Christianity,"14 Adenta, Tema",New Era Academy
Wilhemina Yaa Tetteh,,BUSINESS-1,Female,2010-03-15,Togolese,Islam,"58 Ashaiman, Accra",New Era Academy
Raymond Paapa Zakari,,BUSINESS-1,Male,2008-11-30,Ghanaian,Traditional,"66 Achimota, Accra",Bright Future Academy
Felicia Esi Baffoe,,BUSINESS-1,Female,2009-03-03,Ghanaian,Christianity,"103 Lapaz, Accra",St. Peter’s Basic School
Seth Kwesi Appau,,BUSINESS-1,Male,2010-04-19,Togolese,Christianity,"80 Dzorwulu, Accra",Divine Grace School
Ohemaa Aba Aggrey,,BUSINESS-1,Female,2010-07-29,Ghanaian,Traditional,"4 East Legon, Accra",St. Peter’s Basic School
Nana Paapa Dapaah,,BUSINESS-1,Male,2011-05-25,Togolese,Christianity,"34 Mamprobi, Accra",Galaxy Preparatory
Stella Yaa Essien,,BUSINESS-1,Female,2010-12-08,Ghanaian,Christianity,"13 Spintex, Accra",Ridge International School
Wisdom Nii Osei,,BUSINESS-1,Male,2011-05-13,Ivorian,Islam,"76 Awoshie, Tema",Crown Prep
Maame Esi Essien,,BUSINESS-1,Female,2010-02-16,Ghanaian,Christianity,"42 Adenta, Tema",New Era Academy
Maxwell Kwesi Asante,,BUSINESS-1,Male,2009-06-04,Ghanaian,Christianity,"63 Kaneshie, Tema",New Era Academy
Akosua Esi Sarpong,,BUSINESS-1,Female,2009-06-02,Ghanaian,Traditional,"43 Tema, Tema",St. Peter’s Basic School
Nicholas Kofi Appiah,,BUSINESS-1,Male,2011-02-24,Ivorian,Traditional,"14 Kaneshie, Accra",New Era Academy
Abena Akua Boateng,,BUSINESS-1,Female,2011-02-07,Ivorian,Christianity,"26 Madina, Accra",Bright Future Academy
Nii Kofi Eshun,,BUSINESS-1,Male,2008-11-22,Togolese,Traditional,"100 East Legon, Tema",Hope Academy
Serwaa Esi Agyemang,,BUSINESS-1,Female,2011-03-02,Ghanaian,Islam,"72 Kaneshie, Accra",Little Angels School
Nana Kwame Appiah,,BUSINESS-1,Male,2010-04-10,Ghanaian,Traditional,"29 Teshie, Accra",Ridge International School
Winifred Yaa Peprah,,BUSINESS-1,Female,2010-12-24,Nigerian,Christianity,"97 Adenta, Tema",Bright Future Academy
Kojo Yaw Darko,,BUSINESS-1,Male,2008-12-16,Ghanaian,Islam,"87 Airport Residential, Accra",Ridge International School
Naomi Naa Arthur,,BUSINESS-1,Female,2011-02-07,Ghanaian,Christianity,"81 Spintex, Tema",Little Angels School
Jeremiah Yaw Frimpong,,BUSINESS-1,Male,2011-03-24,Ghanaian,Christianity,"61 Achimota, Accra",New Era Academy
Rhoda Esi Asante,,BUSINESS-1,Female,2011-05-01,Ghanaian,Islam,"41 Tema, Tema",Bright Future Academy
Jeffrey Kwesi Safo,,BUSINESS-1,Male,2011-04-15,Ghanaian,Christianity,"82 Ashaiman, Accra",New Era Academy
Vida Akua Adutwum,,BUSINESS-1,Female,2010-12-20,Ghanaian,Traditional,"119 Tema, Accra",Bright Future Academy
Kofi Paapa Wiredu,,BUSINESS-1,Male,2009-05-04,Ghanaian,Traditional,"10 Awoshie, Accra",New Era Academy
Patience Afia Addo,,BUSINESS-1,Female,2011-05-29,Nigerian,Traditional,"71 Dansoman, Tema",St. Peter’s Basic School
Cyrus Paapa Tetteh,,BUSINESS-1,Male,2009-01-15,Ghanaian,Christianity,"91 Ashaley Botwe, Accra",New Era Academy
Tracy Aba Bediatuo,,BUSINESS-1,Female,2011-01-12,Ivorian,Christianity,"38 Nungua, Tema",Sunrise Basic School
Baffour Paapa Kyei,,BUSINESS-1,Male,2008-12-13,Ghanaian,Christianity,"112 Dansoman, Accra",St. Peter’s Basic School
Josephine Aba Dartey,,BUSINESS-1,Female,2011-04-11,Ivorian,Christianity,"14 Madina, Tema",Ridge International School
Vincent Kwame Nti,,BUSINESS-1,Male,2008-11-20,Ghanaian,Traditional,"91 East Legon, Accra",Little Angels School
Yvonne Naa Bempah,,BUSINESS-1,Female,2009-02-03,Ghanaian,Christianity,"62 Mamprobi, Tema",Ridge International School
Stephen Kwame Appiah,,BUSINESS-1,Male,2010-07-17,Ivorian,Islam,"66 Adenta, Accra",New Era Academy
Stella Aba Adutwum,,BUSINESS-1,Female,2009-12-29,Togolese,Islam,"100 Tema, Accra",Ridge International School
Ebenezer Kojo Ofori,,BUSINESS-2,Male,2010-01-12,Ivorian,Christianity,"91 Mamprobi, Accra",Sunrise Basic School
Tracy Naa Dartey,,BUSINESS-2,Female,2008-11-16,Ghanaian,Traditional,"115 Tema, Tema",New Era Academy
Osei Kofi Ofori,,BUSINESS-2,Male,2008-02-14,Ghanaian,Christianity,"61 Achimota, Accra",New Era Academy
Ivy Akua Adjei,,BUSINESS-2,Female,2009-01-07,Togolese,Islam,"84 Ashaley Botwe, Tema",Ridge International School
